Date,Close,High,Low,Open,Volume,Ticker
2021-02-03,93.72919464111328,94.26424840368554,92.94234680954142,93.66624455403577,7024308,IBM
2021-02-04,95.22422790527344,95.28717172866673,93.53250590327502,94.35082584188368,4771957,IBM
2021-02-05,95.83008575439453,95.84582170792312,94.83078991221865,95.20847791414899,4775722,IBM
2021-02-08,97.26213836669922,97.55327232375123,96.3100504543082,96.48315848916305,6158848,IBM
2021-02-09,97.35782623291016,97.75650744595141,96.52059823081169,97.19835756562591,4933982,IBM
2021-02-10,97.4694595336914,98.40237767649117,96.64817773398512,98.09937383555264,5090673,IBM
2021-02-11,96.40895080566406,97.44551922667435,96.18569089394174,97.27807111127296,5629154,IBM
2021-02-12,96.32125091552734,96.76777078868768,95.75512159620907,96.4807259349246,4049275,IBM
2021-02-16,95.7391586303711,96.16175908571138,95.173035773239,95.80294989962239,6945231,IBM
2021-02-17,95.65945434570312,96.12989361260165,94.90195746821733,95.10129808195353,4141219,IBM
2021-02-18,96.26543426513672,96.43288240181772,95.44415253771858,96.08204626212904,5646413,IBM
2021-02-19,94.8780288696289,96.28935925913872,94.39163705595703,96.28138614442443,6881320,IBM
2021-02-22,96.36911010742188,96.58440333838112,94.43950141412512,94.48734011219071,6149643,IBM
2021-02-23,96.24947357177734,96.75978465668707,95.52387569389842,96.41692168329523,4739740,IBM
2021-02-24,98.24288940429688,98.46614933396276,96.09798800282847,96.32124793249436,6087720,IBM
2021-02-25,97.65283966064453,99.15188059945278,97.54918281137873,98.37046449119384,5953623,IBM
2021-02-26,94.83018493652344,97.4774244966094,94.79031936248182,97.4774244966094,9467346,IBM
2021-03-01,96.27340698242188,97.53324183327443,95.57173470594154,95.96243641788398,5977367,IBM
2021-03-02,95.94649505615234,97.1983568557764,95.89068325013761,96.27341186675694,4732418,IBM
2021-03-03,97.56511688232422,97.78040366833997,95.66740137477102,96.0820287201671,7744898,IBM
2021-03-04,95.77108001708984,98.25087154076861,94.6946394786991,97.27808786232836,8439651,IBM
